custo_medio_venda;faturamento_margem_lucro_liquido;percentual;preco_medio_venda;vei_peso_liquido;vei_produto_codigo_interno;vei_produto_nome;vei_produto_sku;vei_produto_unidade;vei_quantidade;vei_valor_total
0;0;0,22;14,99;0;17528;PIZZA REZENDE CALABRESA 400G;;UN;17;254,83
2,59;46,332;0,22;3,79;0;2799;FARINHA DE TRIGO SOTRIGO 1KG;;UN;67;253,87
4,89;22,699;0,22;6;0;16796;HEINEKEN 350ML UNID;;UN;42;252
19,5;58,974;0,22;31;0;11661;NECTAR SORVETE  POTE 1,8LTS - SABORES VARIADOS;;UN;8;248
5,62;42,171;0,22;7,99;0;26253235630;SKOL BEATS RED MIX  269ML;;UN;31;247,69
3,86;42,487;0,21;5,5;0;4583;ISQUEIRO BIC GRANDE;;UN;45;247,03
0;0;0,21;18,99;0;12688;COCA MINI 200ml - fardinho 12un;;UN;13;246,87
34,29;42,87;0,21;48,99;0;8304;CERVEJA ORIGINAL ANTARCTICA 269ml - CAIXA 15UN;;UN;5;244,95
69,64;42,863;0,21;99,49;0;14855;QUEIJO PARMESAO  PIRACANJUBA PEDAÇO - QUILO;;KG;2,43;241,26
5,8;37,759;0,21;7,99;0;6427;FUMO TREVO TRADICIONAL 45G;;UN;30;239,7
0,89;68,539;0,21;1,5;0;4871;ACHOCOLATADO PIRAKIDS 200ml - UNITARIO;;UN;159;238,5
5,46;46,337;0,2;7,99;0;5338;51 ICE LIMAO 275ML;;UN;29;231,71
13,5;40,667;0,2;18,99;0;19816;BATATA CHIPS LISA RUSTICA 250G;;UN;12;227,88
8,1;48,025;0,2;11,99;0;9379;PRINGLES ORIGINAL 104G;;UN;19;227,81
13,2;56,061;0,2;20,6;0;26253235567;NECTAR SORVETE  POTE 1lt - SABORES VARIADOS;;UN;11;226,56
7,069;-0,672;0,2;7,021;0;6452;MARGARINA DELICIA 500G ;;UN;32;224,65
2,54;96,457;0,2;4,99;0;10556;PETRA AGUA COM GÁS 1,5lt;;UN;45;224,55
32,74;12,981;0,19;36,99;0;6271;CERVEJA PETRA 350ml- CAIXA 12un;;UN;6;221,94
4,62;40,476;0,19;6,49;0;2647;LEITE CONDENSADO PIRACANJUBA 395G;;UN;34;220,66
2,8;42,857;0,19;4;0;8216;CERVEJA BRAHMA 350ml  - UNITARIA ;;UN;54;216
31,08;12,613;0,18;35;0;78983772;COCA COLA LATA ZERO 310ml - CAIXA 12un ;;UN;6;210
22,57;55,029;0,18;34,99;0;16605;SABAO EM PO OMO LAVAGEM PERFEITA 2,2KG;;UN;6;209,94
7,98;75,313;0,18;13,99;0;17748;PAO DE QUEIJO TRADICIONAL CAMPONELLA 700GR;;UN;15;209,85
6,09;72,25;0,18;10,49;0;483431873;FRANGO A PASSARINHO JAGUA 700G;;UN;20;209,8
3,99;50,125;0,18;5,99;0;4787;ENERGETICO EXTRA POWER 270ML;;UN;35;209,65
17,79;29,23;0,18;22,99;0;18742;SABAO EM PO OMO PURO CUIDADO 1,6KG;;UN;9;206,91
3,49;42,98;0,18;4,99;0;19613;DORITOS QUEIJO NACHO 37G;;UN;41;204,59
20;27,5;0,18;25,5;0;19532;NECTAR AÇAI AÇAI POTE 1LT;;UN;8;204
4,3;39,302;0,18;5,99;0;19575;FEIJAO  CARIOCA DO JOAO 1KG;;UN;34;203,66
21,851;32,669;0,18;28,99;0;1937;BATATA PALHA SULLPER TRADICIONAL 800G;;UN;7;202,93
2,27;76,211;0,17;4;0;15054;CERVEJA AMSTEL LAGER 269ml - UNITARIA;;UN;51;200,7
33,3;20,09;0,17;39,99;0;2678;CAFE PINGO DE OURO 500g;;UN;5;199,95
19,54;2,303;0,17;19,99;0;6884;ARROZ NOSSA CASA 5KG;;UN;10;199,9
28,5;38,926;0,17;39,594;0;17133;JS CARVÃO GRANDE 8kg;;UN;5;197,97
6,96;86,638;0,17;12,99;0;5777;ENERGETICO RED BULL TRADICIONAL 250ML ;;UN;15;194,85
3,84;42,969;0,17;5,49;0;11329;SUCO NUTRINECTAR UVA 1L;;UN;35;192,15
6,99;14,306;0,17;7,99;0;14095;PAO DE FORMA BAUDUCCO TRADICIONAL 390g;;UN;24;191,76
10,873;25,253;0,17;13,619;0;5020;ARROZ CRISTAL 2KG;;UN;14;190,66
28;35,679;0,17;37,99;0;2103209;MOLHO KETCHUP CEPERA GALAO 3,5kg;;UN;5;189,95
15;26,6;0,17;18,99;0;19586;AÇUCAR CRISTAL ITAJA 5KG;;UN;10;189,9
11,65;34,12;0,16;15,625;0;9489;CAIXA DE BOMBOM GAROTO 250g;;UN;12;187,5
20,87;48,539;0,16;31;0;13729;SACO LIXO LIXOPACK PTO REFOR 100lts - FD25un;;UN;6;186
11,3;37,08;0,16;15,49;0;4731;PARATUDO COQUETEL ALCOOLICO 900ml;;UN;12;185,88
10,32;50,097;0,16;15,49;0;8544;LASANHA A BOLONHESA PERDIGAO 600G;;UN;12;185,88
30,5;50,787;0,16;45,99;0;78983743;HAVAIANA BRASIL FC AZUL MARINHO ;;UN;4;183,96
6,67;19,79;0,16;7,99;0;12599;LIMONETO H2O 1.5L;;UN;23;183,77
33,19;37,993;0,16;45,8;0;78983811;MOLHO BARBECUE CEPERA GALAO 3.500kg;;UN;4;183,2
8,99;44,494;0,16;12,99;0;18558;FANDANGOS PRESUNTO 105G;;UN;14;181,86
11,62;41,91;0,16;16,49;0;9626;CAIXA DE CHOCOLATE NESTLE ESPECIALIDADES 251G;;UN;11;181,39
